Mês,País Importado,Produto,Via,FOB (US$)
2,China,"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",MARITIMA,18557727
11,China,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",MARITIMA,18492842
8,China,Filamentos sintéticos ou artificiais,MARITIMA,18478822
12,México,Cobre e suas obras,MARITIMA,18344374
4,China,Plásticos e suas obras,MARITIMA,18290096
9,China,"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",MARITIMA,18211795
4,China,Produtos químicos orgânicos,MARITIMA,18208870
10,China,Produtos químicos orgânicos,MARITIMA,18101080
8,Estados Unidos,Plásticos e suas obras,MARITIMA,17932458
4,China,Filamentos sintéticos ou artificiais,MARITIMA,17800241
12,China,"Obras de ferro fundido, ferro ou aço",MARITIMA,17644779
11,Malásia,Borracha e suas obras,MARITIMA,17438588
11,Portugal,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,MARITIMA,17401204
6,China,Produtos químicos orgânicos,MARITIMA,17265084
4,Argentina,Plásticos e suas obras,MARITIMA,17220953
10,Portugal,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,MARITIMA,17091766
5,Estados Unidos,Plásticos e suas obras,MARITIMA,17076634
2,Argentina,Plásticos e suas obras,MARITIMA,16713491
2,Estados Unidos,Plásticos e suas obras,MARITIMA,16674364
1,China,"Vestuário e seus acessórios, de malha",MARITIMA,16650046
4,China,"Ferro fundido, ferro e aço",MARITIMA,16577999
7,China,Plásticos e suas obras,MARITIMA,16561019
10,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",AEREA,16012325
9,China,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",MARITIMA,15767772
8,China,Produtos químicos orgânicos,MARITIMA,15542046
12,Peru,Cobre e suas obras,MARITIMA,15534888
11,China,Tecidos de malha,MARITIMA,15442079
2,China,Borracha e suas obras,MARITIMA,15293637
1,China,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",MARITIMA,15053570
1,Argentina,Plásticos e suas obras,MARITIMA,15008184
8,Argentina,Plásticos e suas obras,MARITIMA,14661816
1,China,Tecidos de malha,MARITIMA,14646205
9,Malásia,Borracha e suas obras,MARITIMA,14632421
5,China,"Outros artefatos têxteis confeccionados; sortidos; artefatos de matérias têxteis, calçados, chapéus e artefatos de uso semelhante, usados; trapos",AEREA,14594286
2,Argentina,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",RODOVIARIA,14503752
12,China,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",MARITIMA,14485496
2,Colômbia,Plásticos e suas obras,MARITIMA,14477798
10,Colômbia,Plásticos e suas obras,MARITIMA,14426285
3,China,"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",MARITIMA,14404965
7,Portugal,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,MARITIMA,14379124
10,China,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",MARITIMA,14347232
12,Portugal,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,MARITIMA,14327152
1,Chile,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",RODOVIARIA,14268186
11,China,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",MARITIMA,14186291
8,China,"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",MARITIMA,14177059
10,Malásia,Borracha e suas obras,MARITIMA,13954408
12,China,Tecidos de malha,MARITIMA,13919561
5,China,Filamentos sintéticos ou artificiais,MARITIMA,13786937
6,Estados Unidos,Plásticos e suas obras,MARITIMA,13614929
9,Argentina,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",RODOVIARIA,13517003
6,China,Plásticos e suas obras,MARITIMA,13502038
11,Itália,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,13488299
4,Estados Unidos,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",MARITIMA,13395651
7,China,Produtos farmacêuticos,AEREA,13316341
8,China,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",MARITIMA,13308667
2,China,Tecidos de malha,MARITIMA,13284169
4,Itália,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,13178453
8,Colômbia,Plásticos e suas obras,MARITIMA,13107518
4,Malásia,Borracha e suas obras,MARITIMA,13077503
5,Argentina,Plásticos e suas obras,MARITIMA,12978635
12,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",AEREA,12943899
10,Chile,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",RODOVIARIA,12932682
9,China,Borracha e suas obras,MARITIMA,12928391
7,Estados Unidos,Plásticos e suas obras,MARITIMA,12923781
9,Argentina,Plásticos e suas obras,MARITIMA,12883836
6,Argentina,Plásticos e suas obras,MARITIMA,12832775
5,Malásia,Borracha e suas obras,MARITIMA,12817821
12,Arábia Saudita,Plásticos e suas obras,MARITIMA,12816100
9,China,"Brinquedos, jogos, artigos para divertimento ou para esporte; suas partes e acessórios",MARITIMA,12759798
11,China,"Obras de ferro fundido, ferro ou aço",MARITIMA,12714064
5,China,Borracha e suas obras,MARITIMA,12685694
6,Malásia,Borracha e suas obras,MARITIMA,12655576
1,Argentina,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",RODOVIARIA,12608992
3,China,"Obras de ferro fundido, ferro ou aço",MARITIMA,12596276
1,Itália,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,12573080
2,Chile,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",RODOVIARIA,12557233
8,Malásia,Borracha e suas obras,MARITIMA,12510611
12,Irã,Adubos (fertilizantes),MARITIMA,12422557
9,Catar,Adubos (fertilizantes),MARITIMA,12402139
7,China,"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",MARITIMA,12329679
9,Chile,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",RODOVIARIA,12323715
10,China,Borracha e suas obras,MARITIMA,12290552
4,Alemanha,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",MARITIMA,12244518
1,China,"Obras de ferro fundido, ferro ou aço",MARITIMA,12239120
11,Argentina,Plásticos e suas obras,MARITIMA,12174908
10,China,"Obras de ferro fundido, ferro ou aço",MARITIMA,12154523
12,Paraguai,Cereais,RODOVIARIA,12134475
3,China,Tecidos de malha,MARITIMA,12131240
12,Taiwan (Formosa),Plásticos e suas obras,MARITIMA,12126747
5,China,"Fibras sintéticas ou artificiais, descontínuas",MARITIMA,12081035
12,Coreia do Sul,Plásticos e suas obras,MARITIMA,12060396
3,Colômbia,Plásticos e suas obras,MARITIMA,12045456
3,China,Borracha e suas obras,MARITIMA,12005483
1,Indonésia,"Fibras sintéticas ou artificiais, descontínuas",MARITIMA,11980933
1,Argentina,Alumínio e suas obras,MARITIMA,11976919
9,Argentina,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos",RODOVIARIA,11975887
11,China,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,MARITIMA,11969711
1,Alemanha,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,11911906
11,Taiwan (Formosa),Plásticos e suas obras,MARITIMA,11863912
1,Colômbia,Plásticos e suas obras,MARITIMA,11853136
9,Argentina,"Preparações de produtos hortícolas, de frutas ou de outras partes de plantas",RODOVIARIA,11769591
12,Argentina,"Preparações de produtos hortícolas, de frutas ou de outras partes de plantas",RODOVIARIA,11756370
10,Argentina,Plásticos e suas obras,MARITIMA,11700882
9,China,"Obras de ferro fundido, ferro ou aço",MARITIMA,11654234
6,China,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",MARITIMA,11638615
3,Portugal,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,MARITIMA,11618471
12,Coreia do Sul,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",MARITIMA,11481889
7,China,"Obras de ferro fundido, ferro ou aço",MARITIMA,11432756
